num,name,route,presentation,price
71,"Fosfato de Potássio (9,3%) 2mEq/2mL",EV (exclusivo),Box – 10 AMPOLAS,"107,00"
72,"Furosemida (0,5%) 10mg/2mL",IM / SC / ID,Box – 10 AMPOLAS,"72,00"
73,"GABA (Ácido gama-aminobutírico) (1,25%) 25mg/2mL",EV / IM,Box – 10 AMPOLAS,"90,00"
74,"Geranilgeraniol (0,5%) 10mg/2mL – veículo oleoso",IM (exclusivo),Box – 10 AMPOLAS,"117,00"
75,"Glicina (3,75%) 75mg/2mL",EV / IM / SC,Box – 10 AMPOLAS,"41,00"
76,Glicose (75%) /10mL,EV (escleroterapia),Box – 10 AMPOLAS,"111,00"
77,"Glicose (75%) + Lidocaína HCl (0,4%) 20mg/5mL",EV (escleroterapia),1 FRASCO,"18,00"
78,HCG — Gonadotrofina Coriônica Humana 150 UI/1mL,SC (exclusivo),Box – 10 AMPOLAS,"250,00"
79,"Hialuronato de sódio (0,06%) 1,2mg/2mL",SC / ID,Box – 10 AMPOLAS,"68,00"
80,"Hidroxitriptofano (0,2%) 4mg/2mL",EV / IM / SC,Box – 10 AMPOLAS,"56,00"
81,"Hidroxitriptofano (0,5%) 10mg/2mL",EV / IM / SC,Box – 10 AMPOLAS,"64,00"
82,"Hidroxitriptofano (0,4%) 20mg/5mL",EV / IM / SC,Box – 10 AMPOLAS,"77,00"
57,58,12,"Dextrose (2,45%) + Ácido Cítrico (0,73%)",VALOR (R$)
83,"Hidroxocobalamina (0,05%) 1mg/2mL",EV / IM / SC,Box – 10 AMPOLAS,"157,00"
84,"HMB – Hidroximetilbutirato de cálcio (2,5%) 50mg/2mL",EV / IM / SC,Box – 10 AMPOLAS,"92,00"
85,"HMB – Hidroximetilbutirato de cálcio (7,5%) 150mg/2mL",IM / SC,Box – 10 AMPOLAS,"105,00"
86,IGF (1%) + BFGF (1%) + VEGF (1%) + Copper Peptídeo (1%) /2mL,SC / ID,Box – 10 AMPOLAS,"85,00"
87,Inositol (10%) 100mg/1mL,EV / IM / SC,Box – 10 AMPOLAS,"50,00"
88,Inositol (10%) 200mg/2mL,EV / IM / SC,Box – 10 AMPOLAS,"62,00"
89,Inositol (10%) 1g/10mL,EV (exclusivo),Box – 10 AMPOLAS,"116,00"
90,Inositol (5%) 100mg + Taurina (5%) 100mg/2mL,EV / IM / SC,Box – 10 AMPOLAS,"56,00"
91,"Inositol (10%) 200mg + Taurina (7,5%) 150mg/2mL",EV / IM / SC,Box – 10 AMPOLAS,"62,00"
92,Inositol (5%) 200mg + Taurina (5%) 200mg/4mL,EV / IM,Box – 10 AMPOLAS,"65,00"
93,"Ioimbina HCl (0,5%) 5mg/1mL",SC / ID,Box – 10 AMPOLAS,"50,00"
94,L-Arginina Cloridrato (50%) 1g/2mL,EV / IM / SC,Box – 10 AMPOLAS,"83,00"
95,L-Arginina Cloridrato (50%) 5g/10mL,EV (exclusivo),Box – 10 AMPOLAS,"184,00"
96,L-Arginina HCl (20%) 400mg + Lidocaína HCl (1%) 20mg/2mL,IM / SC,Box – 10 AMPOLAS,"90,00"
97,L-Arginina HCl (50%) 1g + Lidocaína HCl (1%) 20mg/2mL,IM / SC,Box – 10 AMPOLAS,"107,00"
98,L-Baiba 100mg/1mL,EV / IM,Box – 10 AMPOLAS,"170,00"
99,L-Carnitina (30%) 600mg/2mL,EV / IM / SC / ID,Box – 10 AMPOLAS,"100,00"
100,,EV / IM / SC / ID,Box – 10 AMPOLAS,"178,00"
98,102 L-Fenilalanina (1%) 20mg/2mL,EV / IM,Box – 10 AMPOLAS,"49,00"
103,,EV / IM,Box – 10 AMPOLAS,"63,00"
104,,EV / IM / SC / ID,Box – 10 AMPOLAS,"175,00"
105,,EV / IM,Box – 10 AMPOLAS,"332,00"
106,,EV (exclusivo),Box – 10 AMPOLAS,"583,00"
101,"L-Citrulina (2%) 200mg + Vitamina C (Ácido ascórbico) (0,75%) 75mg/10mL",VALOR (R$),AVISO LEGAL | É proibida a divulgação das informações contidas neste material para consumidores ORIENTAÇÕES GERAIS | Recomendamos que os ativos innos termos do item 5.14 da RCD 67/2007. Estas sugestões são de apoio técnico para prescritores e devem jetáveis da Essentia Pharma sejam associados exclusivamente,"ser avaliadas criteriosamente pelo profissional habilitado, caso a caso, antes da administração."
13,INJETÁVEIS ESSENTIA PHARMA,VIAS DE ADMINISTRAÇÃO,APRESENTAÇÃO,VALOR (R$)
107,,EV (exclusivo),Box – 10 AMPOLAS,"95,00"
108,,EV (exclusivo),Box – 10 AMPOLAS,"94,00"
109,,EV / IM,Box – 10 AMPOLAS,"54,50"
110,L-Metionina (5%) 100mg/2mL,EV / IM / SC,Box – 10 AMPOLAS,"60,00"
111,L-Metionina 25mg + Taurina 50mg + L-Prolina 10mg + Biotina 10mg + Vit B2 (Riboflavina-5-Fosfato) 5mg + Vit B3 (Nicotinamida) 10mg + Vit B6 (Piridoxina HCI) 10mg + Vit B5 (D-Pantenol) 10mg/2mL,EV / IM / SC / ID,Box – 10 AMPOLAS,"70,00"
112,L-Ornitina HCl (15%) 300mg/2mL,EV / IM / SC,Box – 10 AMPOLAS,"61,00"
113,L-Prolina (25%) 500mg/2mL,EV / IM / SC / ID,Box – 10 AMPOLAS,"93,00"
114,"L-Theanina (2,5%) 50mg/2mL",EV / IM / SC,Box – 10 AMPOLAS,"76,00"
115,L-Triptofano (1%) 100mg/10mL,EV (exclusivo),Box – 10 AMPOLAS,"78,00"
116,Leucovorina (Folinato de cálcio) 50mg/4mL,EV / IM,1 FRASCO,"38,00"
117,Lidocaína Cloridrato (1%) 20mg/2mL,IM / SC / ID,Box – 10 AMPOLAS,"45,00"
118,Lidocaína Cloridrato (2%) 20mg/1mL,IM / SC / ID,Box – 10 AMPOLAS,"46,00"
119,"Melatonina (0,15%) 3mg/2mL",EV / IM / SC / ID,Box – 10 AMPOLAS,"105,00"
120,,EV / IM / SC / ID,Box – 10 AMPOLAS,"195,00"
69,"122 Vit B12 (Metilcobalamina) 2,5mg + Piridoxal-5-fosfato 10mg/2mL + Metilfolato 2,5mg/2mL",EV / IM,2 Boxes – 20 AMPOLAS,(10 doses)
378,"123 Metilfolato (0,125%) 2,5mg/2mL",EV / IM / SC,Box – 10 AMPOLAS,"184,00"
144,"125 Cloreto de Cromo 200mcg + Sulfato de Manganês 250mcg + Sulfato de Magnésio 500mg + Sulfato de Zinco 25mg + Selênio 50mcg + Sulfato de Cobre 0,7mg",EV (exclusivo),Box – 10 AMPOLAS,"153,00"
126,,ID (exclusivo),Box – 10 AMPOLAS,"51,00"
127,,IM / SC / ID,Box – 10 AMPOLAS,"59,00"
121,"Melatonina (0,5%) 50mg/10mL Metiladores",Minerais sem Zinco /2mL,124 Cloreto de Cromo 200mcg + Sulfato de Manganês 250mcg +,Sulfato de Magnésio 500mg + Selênio 50mcg
